Issue key,Issue id,Summary,Priority,Created
SD-72027,1247006,Please Delete Duplicate Payment Opp for House Doctors of The Lowcountry,Normal,10/Dec/25 1:30 PM
SD-71920,1245648,hey team can you please help me churn this OB record,Normal,09/Dec/25 7:24 PM
SD-71919,1245619,Salesforce Access,Normal,09/Dec/25 6:03 PM
SD-71917,1245567,hey team OB record to churn please,Normal,09/Dec/25 5:25 PM
SD-71914,1245505,Roll Onboarding Status back to Pending Underwriting,Normal,09/Dec/25 4:35 PM
SD-71692,1243171,Salesforce access,Normal,08/Dec/25 11:32 AM
SD-71653,1242692,Remove Payments opportunity,Normal,08/Dec/25 8:13 AM
SD-71587,1241088,System keeps changing primary contact on success customers,Normal,05/Dec/25 3:18 PM
SD-71577,1240987,Salesforce Access,Normal,05/Dec/25 1:36 PM
SD-71573,1240977,Create Payment Opportunity for Bear Valley Plumbing and Heating,Normal,05/Dec/25 1:28 PM
SD-71552,1240838,Please Create a Payments Opportunity for Rholla Inc DBA Mr Electric of Winter Haven,Normal,05/Dec/25 12:13 PM
SD-71546,1240779,Cannot access Salesforce account via button redirects to non-existent account page,Normal,05/Dec/25 11:50 AM
SD-71527,1240566,Upgrade SF permissions for Jessi Jimenez,Normal,05/Dec/25 10:16 AM
SD-71518,1240509,Need a new ServiceTitan Payments Opportunity,Normal,05/Dec/25 9:46 AM
SD-71510,1240434,Please re-grant SalesForce Access,Normal,05/Dec/25 9:16 AM
SD-71452,1239180,Bryan Neely Reactive in SFDC,Normal,04/Dec/25 4:10 PM
SD-71451,1239142,User License for Salesforce,Normal,04/Dec/25 3:49 PM
SD-71440,1238982,Please Delete Payments Opportunity for FH Franchising LLC dba HomeField Franchising,Normal,04/Dec/25 2:21 PM
SD-71245,1236605,Still cant access sfdc,Normal,03/Dec/25 11:49 AM
SD-71211,1236303,Request to delete an opp,Normal,03/Dec/25 9:34 AM
SD-71196,1236118,Please delete this record as it is a duplicate one,Normal,03/Dec/25 8:36 AM
SD-71158,1235804,Duplicate opportunity created,Normal,03/Dec/25 5:59 AM
SD-70918,1232711,Salesforce access,Normal,01/Dec/25 12:49 PM
SD-70916,1232703,Please delete this opportunity Metro Builders Inc Tampa Bay Payments,Normal,01/Dec/25 12:46 PM
SD-70901,1232616,Update Salesforce Permissions,Normal,01/Dec/25 12:06 PM
SD-70871,1232476,Inactive Salesforce User,Normal,01/Dec/25 10:39 AM
SD-70831,1232301,Please Delete Duplicate Payments Opportunity for Mr Rooter mcgaughymarkw,Normal,01/Dec/25 9:23 AM
SD-70752,1230821,I need to reset my Salesforce password and havent set up a security question,Normal,28/Nov/25 11:27 AM
SD-70746,1230808,hey team can you please churn this OB record,Normal,28/Nov/25 10:40 AM
SD-70717,1229993,hey team another OB record to churn,Normal,27/Nov/25 2:50 AM
SD-70715,1229977,hey team can you help me churn this OB record,Normal,27/Nov/25 2:34 AM
SD-70714,1229928,hey team Can you please help me churn all the OB records here,Normal,27/Nov/25 1:01 AM
SD-70637,1229017,Request to have duplicated onboarding record deleted,Normal,26/Nov/25 8:08 AM
SD-70636,1229016,Help erasing Success Transition Status on those Onboarding Record need bypass permission,Normal,26/Nov/25 8:06 AM
SD-70564,1228043,SFDC Permissions,Normal,25/Nov/25 12:33 PM
SD-70548,1227998,Request to delete an opp,Normal,25/Nov/25 12:01 PM
SD-70540,1227872,Please remove onboarding record,Normal,25/Nov/25 10:46 AM
SD-70529,1227750,Lost access to SFDC,Normal,25/Nov/25 9:49 AM
SD-70523,1227704,Salesforce access removed,Normal,25/Nov/25 9:26 AM
SD-70466,1227164,Delete/remove SFDC account,Normal,25/Nov/25 4:00 AM
SD-70434,1226487,Please Create a Payments Opportunity for Mr Electric of East Baltimore,Normal,24/Nov/25 2:36 PM
SD-70410,1226221,Please delete these OB records as they are duplicate cases,Normal,24/Nov/25 12:55 PM
SD-70375,1225973,Request for access to salesforce,Normal,24/Nov/25 10:51 AM
SD-70265,1223807,SalesForce Quote Creation Access,Normal,21/Nov/25 12:07 PM
SD-70250,1223672,Access to Salesforce,Normal,21/Nov/25 11:07 AM
SD-70236,1223580,Please Create a Payments Opportunity for Mr Rooter mcgaughymarkw,Normal,21/Nov/25 10:09 AM
SD-70197,1223250,Change status back to Approved on Opportunity,Normal,21/Nov/25 7:52 AM
SD-70184,1223030,hey team can you please churn this OB record for me,Normal,21/Nov/25 5:07 AM
